"length","width","size","conc1","conc2","asym","long","trans","alpha","dist"
60.0261,12.245,2.8052,0.26,0.1433,3.5656,55.2047,8.5485,1.08465561082566,230.089
39.1755,26.3821,2.7966,0.345,0.2005,-38.1241,25.4219,17.0574,1.59655873798762,299.173
25.4762,12.0898,2.4048,0.4134,0.2303,7.0323,15.7982,6.2085,2.23263891372817,193.349
73.2547,19.5552,2.5545,0.357,0.1939,-44.1258,34.5939,16.6915,2.19347686777721,282.616
26.0862,12.5473,2.4099,0.4397,0.2354,16.3451,14.9018,5.6343,1.42752143939455,183.852
50.8293,20.0939,3.3959,0.2162,0.1236,38.7703,41.463,9.3292,1.38282236332976,189.155
19.6419,0,2.2,0.795,0.571,-0.5678,5.2697,0,2.42911366356518,182.016
26.8971,19.2128,2.7657,0.319,0.1655,-12.9068,4.6154,8.1139,2.53144185684716,152.596
25.1576,12.8638,2.4564,0.4615,0.236,-24.1639,11.1073,7.8713,2.62908555507126,149.657
18.2028,15.8708,2.4526,0.5115,0.2945,18.9639,18.329,5.3072,1.26929808339409,48.9988
56.2418,16.5703,2.8943,0.2092,0.1103,71.8585,39.648,10.7621,1.12008551771951,250.91
81.2317,32.2546,3.7262,0.1694,0.0893,35.5667,66.9446,12.8892,1.42771905887116,295.38
32.7059,17.1981,2.5804,0.4074,0.2142,46.6935,13.1053,15.3472,2.52067959472496,99.7447
16.9286,11.2814,2.4116,0.5736,0.3314,-1.2345,5.8021,6.0007,2.07427468856783,190.039
41.3848,32.4617,2.7938,0.3521,0.1889,-20.4985,28.2927,28.1989,1.76150556842922,308.373
25.2091,10.6551,2.3701,0.4989,0.3006,10.6071,21.1038,3.9151,2.53908197136955,147.489
18.249,10.4383,2.2529,0.6034,0.3156,22.8063,10.1469,5.3027,1.99453703272278,159.544
28.4148,13.01,2.4778,0.5923,0.4409,28.2765,20.1871,10.6797,1.92376668911274,136.651
47.6,13.413,2.8092,0.2762,0.1497,41.1158,33.8544,8.2134,1.27079909468606,178.462
97.794,26.8347,3.5327,0.1516,0.077,29.7042,95.3544,12.0158,1.33881608901023,256.435
13.1155,10.1083,2.1973,0.8,0.5238,12.3051,7.4928,10.0776,2.76966594951052,166.287
63.8128,26.2233,3.5143,0.1958,0.1088,44.5465,46.5522,18.3607,1.17697908016232,284.652
22.5539,9.7776,2.2068,0.559,0.2888,-4.0544,16.5945,10.4839,1.74230360366157,236.65
20.6454,6.839,2.2844,0.774,0.4545,20.3461,14.9016,5.7986,1.28814094116193,175.992
60.8598,18.7033,2.6128,0.2561,0.1378,42.4917,33.7518,12.0692,1.4300328274279,146.803
35.577,15.0526,2.9805,0.3964,0.2202,15.679,14.3568,4.1406,1.19963814654568,225.707
20.0777,12.6181,2.404,0.5286,0.2939,14.1429,15.066,7.8845,2.45722673612889,132.889
19.0154,12.8813,2.5085,0.6326,0.4264,8.3826,17.2241,8.0364,2.77034817095664,174.401
17.8912,15.0832,2.3075,0.6404,0.3818,1.5604,11.248,15.5561,2.58627079078666,225.809
21.6327,17.2218,2.5434,0.4206,0.2246,7.9688,9.6019,14.4923,1.80501160980449,186.555
78.6493,34.0613,3.7751,0.1103,0.0568,82.1473,66.0231,15.8013,1.34029297519133,161.776
84.2741,33.3225,3.8949,0.1233,0.0635,43.638,73.8035,16.3734,1.39355992650942,260.378
77.5343,18.8832,3.2671,0.2584,0.1436,46.2902,94.0484,12.4317,1.17281708255122,213.191
20.5321,15.3265,2.4829,0.4803,0.2582,21.9631,14.7728,9.8037,2.58857996343562,207.691
42.1441,13.7346,2.7459,0.3339,0.1966,31.7383,19.1549,7.9992,1.14249590856679,228.537
61.6933,18.0011,2.9015,0.276,0.1449,47.4507,38.9838,13.6166,1.30788205329788,234.109
23.2114,18.431,2.7466,0.414,0.2195,22.8049,22.652,11.7008,1.29887199651893,51.4993
78.2002,23.1372,3.2357,0.2005,0.1212,57.955,86.1356,16.129,1.88464874698668,217.965
57.1656,19.9402,2.9978,0.197,0.1,11.2262,44.4537,14.2419,1.87147741889853,247.114
39.2192,14.1085,2.8534,0.4064,0.2306,36.9605,31.7324,5.2607,1.74122962429122,225.515
23.1587,0.0046,2.1319,0.7675,0.3875,25.3507,15.0322,0,2.8010983422716,147.73
32.5377,19.6957,2.8561,0.2925,0.1762,25.8408,21.2875,15.2061,2.28575000788188,136.814
23.153,21.0028,2.8065,0.3622,0.2006,28.0575,19.6679,16.5609,2.29250266639677,78.7331
29.1556,12.5696,2.5441,0.5257,0.27,-9.3565,21.4041,10.0929,1.17789799751556,216.048
46.5588,28.6929,3.3971,0.1864,0.0996,17.6816,46.0987,10.205,1.88878058977724,107.747
29.8023,10.9847,2.2999,0.4862,0.2882,27.7037,24.3173,8.5655,0.770257021368616,209.784
86.5346,40.6201,4.1111,0.0915,0.0458,35.8899,74.5456,25.1406,1.48133601781334,219.069
31.5283,21.6599,2.8618,0.3368,0.1945,7.1639,22.6167,13.2218,2.65945901419575,38.7816
13.0557,10.9159,2.2188,0.7613,0.4502,-14.0863,5.2668,10.5095,2.93483710512318,175.677
79.9539,31.9315,3.1602,0.2497,0.1518,53.3845,87.6757,16.2707,2.05144342625335,171.441
36.9794,24.1174,2.9834,0.2213,0.12,11.2818,8.5158,10.8997,2.61035558236225,93.9373
16.3371,11.6489,2.3464,0.6036,0.3131,-0.8501,4.6868,3.9635,2.88985007255283,224.031
56.2479,20.9217,3.1942,0.2168,0.1103,33.813,36.6852,8.7702,0.863512637598484,220.971
34.4244,9.6598,2.4955,0.4888,0.254,-29.8832,23.1758,6.9027,2.2921498411594,182.12
63.7616,24.1374,3.1096,0.2712,0.1356,56.2044,57.895,8.1977,1.36513686831828,243.311
50.5984,25.8939,3.0586,0.2464,0.1315,10.7891,35.9762,19.5228,1.70445528227255,270.007
37.6518,15.2293,2.8561,0.4805,0.3015,24.9532,37.9769,6.2648,1.6713422878861,184.216
26.466,18.778,2.6107,0.4044,0.2463,13.4573,9.0185,6.0375,1.60883163689704,169.81
33.5123,15.0057,2.4742,0.4866,0.3104,33.7307,27.5196,2.2896,1.62064788639399,199.944
24.5581,15.468,2.6628,0.3957,0.1989,10.2036,12.6949,8.5211,2.27942262607673,165.258
17.1997,7.3014,2.2844,0.8312,0.5532,3.4739,4.489,5.2467,2.10916933504805,217.318
86.5389,16.3152,2.8756,0.3023,0.1565,48.9056,72.2829,4.4207,1.1121743063411,245.673
36.1618,25.9263,3.1178,0.2127,0.1216,14.0562,20.1419,14.7248,2.40348992090965,142.269
53.5736,25.803,3.5737,0.1956,0.0986,39.2808,58.4267,14.9922,1.66014583054785,171.407
33.8898,17.6924,2.9647,0.3026,0.1719,13.8792,25.8841,7.6886,1.62020721748782,90.7788
32.0949,13.4114,2.6915,0.4049,0.237,40.987,17.3007,6.6499,1.94233489405569,197.379
31.3143,18.0536,2.873,0.284,0.1721,1.2051,14.7875,12.6812,1.14160638153231,183.056
20.5056,12.823,2.3531,0.51,0.2683,9.9865,14.0662,8.7369,1.1420262287518,205.635
88.6611,23.5917,3.3842,0.1866,0.0981,41.6122,91.629,11.0464,0.91794061753342,279.442
91.9495,29.2949,3.3654,0.2233,0.1416,-48.1293,43.1926,22.0904,1.42844868060906,291.833
48.6413,19.3526,2.8048,0.2978,0.1654,37.0506,20.0806,14.8701,1.83292473194058,214.847
43.1149,20.6045,2.9609,0.2615,0.1537,38.0039,23.6864,5.8435,1.24593461009271,168.887
33.1959,11.5356,2.6289,0.4324,0.2902,25.683,27.794,9.2649,1.59573492951188,182.24
35.5524,15.3608,2.7945,0.3579,0.1806,-10.5469,22.0225,6.9349,1.92353840616713,166.058
72.7983,23.2986,3.3429,0.1589,0.0815,46.2421,59.0347,12.2292,1.65163342173039,206.648
68.6967,24.7983,3.1733,0.1858,0.0996,19.6607,76.9693,23.1282,1.3639955308012,178.712
72.912,10.4211,2.6693,0.394,0.2131,20.5709,77.5674,4.8373,1.75107626619756,235.075
74.1464,20.7143,2.7348,0.2799,0.1427,-31.1356,53.6291,19.484,1.48031976881679,300.163
58.4387,17.4136,2.9342,0.2641,0.139,82.5458,42.7297,16.8556,1.32923347251827,265.076
62.1547,22.8527,3.4072,0.1805,0.0949,-15.0925,43.1847,11.8992,1.36067331799515,222.286
108.261,35.2459,3.9109,0.0908,0.0479,50.724,90.2158,18.3796,1.16986148845487,230.846
63.6676,17.6143,2.5877,0.3256,0.1718,45.3996,63.7663,10.6671,2.13742564863317,122.622
66.5662,28.6046,3.5894,0.1552,0.0779,35.167,40.3408,20.895,0.795270728767051,261.59
20.7708,16.7921,2.5815,0.4404,0.2267,6.1544,11.5784,14.5851,2.91540028333668,228.28
27.1848,14.0718,2.4893,0.4052,0.2188,-17.8425,14.9077,7.5929,2.62356536681997,183.708
43.0546,19.9313,2.5676,0.2625,0.1475,-9.9563,30.6469,10.863,1.86465115446347,149.596
79.6309,30.9289,3.466,0.1556,0.0788,73.8548,71.5445,18.1939,1.23261590238999,270.704
23.6577,9.8458,2.243,0.5657,0.3,-32.3346,16.0048,10.2052,2.27593164728252,126.2
72.7908,23.7428,3.5405,0.1803,0.0903,34.9796,74.514,15.0871,1.4342119027146,202.542
37.6122,14.3011,2.7404,0.3345,0.1918,6.1052,21.3123,10.0353,2.31095339503906,220.166
22.241,8.9672,2.2529,0.6536,0.338,0.7829,10.3637,9.4599,2.38966322872524,185.545
67.9187,18.5575,2.9001,0.2605,0.1479,-0.1913,29.7202,15.8403,1.76269358354713,232.656
29.0976,15.3475,2.6243,0.3919,0.2458,12.7534,6.2127,11.7229,2.45079849012458,194.115
88.0174,21.6106,3.2456,0.1823,0.0934,77.0907,78.2005,2.3756,1.62576266273812,243.888
34.9792,22.7377,3.0222,0.247,0.1363,4.3277,13.4747,16.9388,1.42079658073161,94.4528
37.7253,16.6038,2.7716,0.2758,0.1497,19.6874,33.9511,7.8238,1.99479219435785,256.048
62.3261,18.0596,2.7574,0.3217,0.1705,60.5019,49.8049,7.7899,2.93222567846919,122.613
36.852,25.1337,3.0052,0.2184,0.1131,19.2474,29.5049,6.2066,1.72610239429403,98.7117
88.5562,23.4657,3.6856,0.1452,0.0851,74.4441,72.9694,10.4241,0.968381792662385,230.344
41.745,19.728,3.1065,0.2504,0.1475,36.2267,34.9348,11.3817,1.04960970577464,167.026
31.4417,19.7318,2.9827,0.333,0.1722,23.7303,21.7099,10.6866,2.2985582734771,96.3967
94.8276,37.9939,4.0896,0.0905,0.0506,10.1907,86.3984,22.9415,1.00594674374635,192.106
17.8663,10.0635,2.4031,0.6482,0.413,18.7946,13.3886,3.5509,2.19784149104163,76.7357
24.9509,12.2758,2.4928,0.4566,0.2331,31.4747,18.5466,6.3908,2.19998591271218,184.21
77.8141,26.5122,3.7987,0.1644,0.0897,37.0051,65.7207,14.2353,1.28328294152892,218.662
19.8657,10.773,2.3324,0.5953,0.3326,-8.0461,17.5656,9.9813,2.05773297328537,53.4503
39.4796,16.8977,2.932,0.3474,0.1959,31.9808,28.3,6.6446,1.03079780594021,198.882
27.1373,13.7348,2.4281,0.4851,0.2743,6.3929,20.5919,9.8976,2.03865248259779,157.231
73.2648,27.0787,3.5292,0.1718,0.0897,28.7515,67.9722,18.8744,1.57920630057822,285.997
61.374,22.8597,3.0245,0.2108,0.112,47.2363,46.4616,15.9629,1.38813350663955,262.058
12.6846,11.7208,2.1055,0.7137,0.3725,-15.4833,7.3755,11.1393,1.42951962697655,200.477
12.8557,9.8076,2.4141,0.79,0.5723,11.1126,8.5403,4.8509,2.97892715364105,169.005
28.7248,16.5417,2.6107,0.3358,0.1875,38.7981,15.164,10.4323,1.37123759080344,226.558
76.4482,26.3884,3.0874,0.2257,0.1141,-29.7807,62.0248,16.3129,1.95383210344693,305.318
97.3151,28.5147,3.3217,0.1692,0.097,-38.872,80.0073,22.2258,1.31431572711245,319.867
87.8842,35.0948,3.7411,0.1899,0.0968,-35.405,29.1815,19.7623,1.42487575524417,364.982
33.1706,15.5717,2.667,0.3918,0.253,31.8744,20.7756,7.7843,1.66080110828765,170.48
27.8675,6.8238,2.3579,0.5965,0.3004,33.6239,17.9717,2.6727,1.7118688147052,141.871
28.2338,16.3284,2.5308,0.4065,0.2047,-10.6634,21.8452,13.6102,1.70878070741859,217.377
22.9956,14.8647,2.4871,0.4169,0.2231,-15.3437,9.2633,11.9746,2.63119335298527,128.131
27.0944,21.3476,3.1594,0.3332,0.1701,11.606,22.1001,10.4483,1.00367964050141,69.6275
24.4446,14.3012,2.5539,0.4385,0.2304,1.024,21.6145,4.5104,2.13662386780021,171.033
17.725,7.4803,2.1833,0.7738,0.5344,-0.4145,2.2463,3.8834,2.41420356398526,252.016
80.5967,31.8121,3.5604,0.0999,0.0541,90.83,57.0513,11.1907,1.56463442408021,219.884
21.5732,0,2.1222,0.7698,0.4792,-1.8113,9.6718,0,0.118920711500272,118.189
88.4638,26.6695,3.444,0.2338,0.1509,-45.0756,44.1096,19.3974,0.85444045429612,295.65
23.4563,11.3381,2.5051,0.5188,0.2766,7.9259,6.9172,5.2721,2.16121890542757,141.462
92.6332,30.1404,3.6898,0.2141,0.1278,-20.7682,71.7015,14.4934,0.592210738111868,340.839
31.3318,19.8114,2.6794,0.3222,0.2061,18.3913,22.1769,18.9498,2.07811563112783,77.5384
18.2899,16.9979,2.4362,0.5165,0.2912,14.9739,13.8627,10.3602,2.19862286223646,197.529
23.1716,9.5924,2.2742,0.6223,0.4016,21.7069,20.1332,11.3888,2.35296086648078,125.416
34.9922,18.443,2.9883,0.3225,0.1628,6.2692,16.2665,12.0407,1.6917423896851,215.527
48.5152,22.2848,3.3116,0.1922,0.11,33.4214,18.4291,13.8125,0.889530668548271,213.416
19.8584,15.5018,2.6405,0.476,0.2643,22.9476,15.8569,4.5488,2.11889368736856,159.01
32.392,14.8974,2.8663,0.3905,0.2211,34.5464,15.8798,6.632,1.63442015930122,217.28
12.591,11.8526,2.1477,0.7046,0.3523,14.998,0.9276,11.4311,2.33503421802192,172.714
53.0403,13.8821,2.8159,0.4125,0.2987,41.2841,47.6989,11.2755,1.78336124666411,237.736
24.8368,14.4621,2.4571,0.3909,0.2321,4.7521,17.2153,5.7761,1.59283531993483,161.127
57.6389,19.9578,2.9183,0.3186,0.1623,34.1966,59.3038,18.4333,0.886998044254235,113.551
39.163,18.2024,2.3531,0.4967,0.3082,37.3274,33.2677,16.9149,1.81894187129193,242.224
23.4645,16.0261,2.4116,0.4186,0.2384,10.901,12.7104,10.5489,2.39752583526161,44.4753
25.9826,13.9899,2.6556,0.4243,0.2906,15.9402,8.8205,7.689,1.47645123690225,94.0805
29.4437,17.2949,2.7271,0.3824,0.2427,9.5314,20.6289,9.2319,2.12116319125693,87.6333
30.694,22.0026,2.617,0.285,0.163,-6.887,20.2385,19.8442,2.46843438348476,127.82
20.0833,15.4987,2.3627,0.4772,0.2495,12.2698,18.2534,10.7756,2.1309342955131,96.7668
12.6472,11.7739,2.0065,0.7094,0.3695,-15.5719,7.6167,11.0509,1.5571997722182,171.3
36.8698,17.7978,2.7288,0.3361,0.1802,38.1599,30.7423,8.1883,1.44930194800758,146.661
51.6785,25.5782,3.0092,0.184,0.1023,26.7409,37.5168,12.1553,1.1730339811372,236.85
27.3505,12.6293,2.3212,0.4487,0.2315,21.1833,13.7308,8.0624,1.99124581573065,170.12
15.5071,11.6106,2.3385,0.6422,0.4243,1.4462,2.6585,8.4352,2.96958025411002,149.374
63.1196,31.0642,3.3687,0.1823,0.1038,46.2564,59.8515,14.7941,1.59196853784847,314.41
18.6133,10.0097,2.3054,0.6089,0.3787,20.7083,12.7382,2.9013,1.75275007049755,179.16
29.2873,8.4266,2.4005,0.5288,0.2763,38.0135,9.9818,6.042,1.88163138857798,166.636
39.938,17.9057,2.5152,0.3481,0.1756,27.506,23.8404,13.9186,1.94996270059371,113.943
52.9024,22.7868,3.1956,0.2645,0.152,17.9581,51.0997,8.8946,1.45148149112572,138.361
27.4278,12.636,2.7555,0.3916,0.2133,-13.2997,19.1969,5.4596,1.37716224966972,255.342
68.2982,22.7802,2.8918,0.2694,0.1546,71.3189,41.3572,12.6148,1.59042961079084,288.958
19.6229,18.7334,2.5179,0.349,0.1745,16.3392,11.422,8.841,1.78315845320448,76.8999
35.1926,27.6832,3.2262,0.221,0.1322,23.6958,27.381,20.9731,1.80798004019299,84.5853
27.0994,10.6958,2.4969,0.4841,0.2723,8.453,15.2155,7.4016,1.12427824949053,145.424
28.2302,18.7591,2.8132,0.3859,0.2083,24.8857,20.802,17.6662,1.65374346730527,146.09
79.3831,12.9439,2.7427,0.3436,0.2215,35.3588,78.7654,7.6861,1.75276864140467,221.48
13.3286,10.5157,2.1945,0.7923,0.4313,14.3543,4.3614,11.7594,2.95580131499137,189.484
34.8904,14.3351,2.7243,0.3472,0.1802,31.0558,31.9063,9.6898,1.80229755203359,103.707
23.6729,0,2.2,0.7634,0.4196,0,0,16.4525,2.6290594162542,154.638
31.2984,18.5756,2.7987,0.372,0.217,-0.2935,15.5327,11.3887,1.73147316839982,211.217
33.4718,23.5392,2.5617,0.2743,0.1413,5.0768,21.8971,12.1541,0.881100196032585,229.513
50.2888,18.2407,2.8407,0.3766,0.2128,39.0495,44.8403,8.2418,2.50002079974042,267.019
31.3812,16.2673,2.637,0.3691,0.2134,29.2412,24.9286,10.5468,1.77785246925108,164.816
22.6157,12.6978,2.2788,0.5789,0.3132,17.0142,10.1953,9.062,2.42527781053697,178.035
58.113,24.2392,2.8351,0.4152,0.223,-27.4683,18.2293,26.5948,1.41345280895084,334.944
27.8821,17.6439,2.7455,0.3756,0.1986,33.2437,19.6353,7.6692,2.48124602646495,202.109
25.1526,0,2.1599,0.7405,0.4671,24.187,18.1689,0,2.79715309545243,237.147
12.6471,11.7783,2.1569,0.7108,0.3589,-15.1635,4.742,11.4747,2.37424103443288,172.725
30.5895,15.344,2.5916,0.3892,0.2061,4.0507,14.2319,6.3935,2.73905329359976,24.4249
70.3337,18.5827,2.8058,0.3393,0.2025,-32.7976,51.479,11.4571,1.46742053051985,295.183
37.0979,8.0876,2.5809,0.4908,0.2585,-10.8717,25.3223,10.9802,1.10148085369118,169.177
29.6299,17.3722,2.7903,0.3274,0.1726,-12.0118,13.7674,10.8267,2.21786901684571,123.845
21.0629,6.9493,2.0881,0.7347,0.4122,22.3653,13.108,6.1568,2.22556292279975,141.78
92.3308,31.9245,4.0213,0.1019,0.0535,55.0845,77.8264,15.3498,0.898349374071362,264.63
39.7082,18.2593,2.854,0.2827,0.1561,7.781,36.6955,7.6006,2.29405730690333,260.092
43.9432,29.7264,3.1915,0.1673,0.084,22.5951,23.7578,20.2932,2.0702967877768,126.665
28.6134,12.329,2.6508,0.4022,0.2402,11.4541,15.1813,9.8838,1.07550894895101,160.99
43.911,19.6896,3.0465,0.301,0.1568,10.3476,39.0333,5.8314,1.96384381054394,179.055
27.1388,21.2758,2.8156,0.3379,0.1766,-10.7681,23.5939,21.1059,2.35627389261022,117.54
20.5858,7.2402,2.0273,0.7042,0.3709,-1.1138,7.8255,5.8563,2.21248719553509,84.7853
49.5441,26.2693,3.528,0.1847,0.0974,6.9051,33.604,17.3942,1.24892260787166,173.885
36.9888,23.6138,3.1908,0.2256,0.1138,51.4269,23.8581,14.3367,1.51278379229299,182.452
76.1914,36.9303,3.6457,0.1219,0.0625,7.7462,50.6642,28.822,1.41720923432647,253.121
37.5856,18.1024,3.0137,0.2723,0.1672,18.0017,25.3594,11.9947,1.82598372108187,177.301
25.8305,7.7487,2.2967,0.6566,0.3561,-14.1712,13.8887,4.454,2.04214879136489,196.769
15.5675,11.7632,2.3636,0.6407,0.4004,-0.5808,1.7487,7.7898,2.81116662273374,170.972
21.3568,15.123,2.702,0.5144,0.2632,0.4375,18.5603,7.8242,2.53902087920558,124.563
80.2192,25.8956,3.4586,0.24,0.147,-46.6524,68.0245,18.4844,0.618141944451965,315.008
51.0346,22.7669,2.6721,0.3511,0.2053,20.6441,49.9228,16.6606,1.74173610879113,78.6901
18.2452,10.3919,2.382,0.5934,0.334,-0.7341,5.7769,6.3507,2.06043910012744,190.144
27.6167,8.807,2.2833,0.651,0.3724,8.7664,23.2664,3.2946,3.07777735458804,89.1692
87.9125,24.0949,3.4298,0.2331,0.1165,-24.3046,59.5604,14.1694,1.27322846745302,337.462
32.0001,11.4658,2.4949,0.3648,0.1936,-28.5714,17.6233,7.953,1.97113092574867,101.912
26.3542,20.9871,2.7292,0.3228,0.1931,33.2157,12.8453,14.9905,2.15646315094572,195.583
24.8746,16.3143,2.6518,0.466,0.2375,7.8902,20.5957,14.1454,2.63888073806789,150.95
20.1941,7.3237,2.0986,0.7171,0.3944,-1.1919,7.6258,5.5067,2.89603517466497,218.094
18.9053,13.0977,2.4322,0.6322,0.3641,18.6186,18.1889,4.5549,2.4030036159852,146.562
59.0164,18.02,3.3073,0.2587,0.1422,57.701,59.9175,15.4044,1.06998040627202,237.622
66.4031,32.2578,3.6349,0.1384,0.071,57.4468,48.7189,26.0972,1.75354345054845,224.235
39.0894,22.4388,2.7352,0.2649,0.161,25.7274,9.4193,19.8557,1.80035997430555,133.345
33.055,15.1941,2.3444,0.371,0.1878,10.2965,22.9021,7.8267,1.74738627850238,178.204
83.9635,33.6984,3.9898,0.1218,0.0623,66.3115,83.0857,12.3989,1.31911237971421,253.311
13.0019,10.9301,2.1319,0.7528,0.4613,-13.9186,6.0317,9.177,2.85429921285905,154.086
21.0689,13.6215,2.6042,0.5149,0.2724,22.6513,12.6911,8.8932,1.52329609546178,180.055
53.746,26.0975,2.8873,0.2735,0.1458,46.4817,67.4394,12.201,2.46427844952547,49.882
21.1628,12.2039,2.3473,0.4719,0.2539,-0.406,8.8387,10.7925,2.44609764438399,160.436
32.853,19.9412,2.9865,0.3249,0.1645,-8.4624,18.1999,10.0273,1.71861625148129,174.955
77.3543,41.9258,4.0443,0.1066,0.054,67.4301,71.4133,18.9853,1.38728219764286,198.406
33.1141,24.2276,2.953,0.3298,0.1922,8.5121,22.7668,17.8465,2.62844148770235,81.4037
51.264,22.1306,3.2543,0.2283,0.115,0.0501,44.5544,12.1678,1.80645524659931,198.327
21.6816,13.2289,2.4893,0.5835,0.3549,18.4128,19.4601,8.5961,2.73221491202996,103.012
81.1254,32.3186,3.3511,0.1729,0.088,67.0179,77.5083,29.5555,1.79320579916604,188.939
13.0702,11.1033,2.1688,0.7593,0.3898,-14.9342,3.4386,11.8166,2.99399402523029,218.84
24.5661,17.715,2.6758,0.3439,0.1909,5.9985,18.4396,8.6501,1.82190485021968,193.054
54.4375,32.7823,3.1174,0.1557,0.0797,56.8326,12.2947,16.1308,1.2746673714201,144.71
20.8857,11.2823,2.404,0.5957,0.2978,25.9991,11.2238,11.1425,2.76858866027498,188.468
79.7152,24.3309,3.3438,0.213,0.1067,47.0015,79.5533,13.5603,1.63344587401086,283.268
45.4153,25.3628,3.1391,0.2279,0.1165,10.3494,15.2556,16.2177,1.90915148527337,247.465
77.6846,25.5809,3.5455,0.1851,0.0992,70.9997,73.0712,18.2497,1.33601533437204,251.291
27.5407,10.3456,2.3865,0.5462,0.3018,-21.8298,17.1192,8.6005,2.4267590594381,204.302
22.7882,8.6526,2.2923,0.6888,0.3954,25.4,11.0382,8.6672,2.82645400086313,190.409
27.7483,18.2389,2.5781,0.3593,0.1863,-48.0644,23.808,7.6051,1.73879517837587,186.334
29.4732,11.3566,2.641,0.4091,0.216,20.5817,20.7717,4.0614,2.09082931505464,178.983
66.0896,16.8242,2.9413,0.4213,0.2181,14.5258,71.255,7.1436,1.69440044252293,220.549
32.8483,10.7905,2.5843,0.4688,0.2565,22.4442,30.8181,6.0211,1.46170655807592,160.43
31.4336,23.2651,2.934,0.2957,0.1717,-9.1278,19.8518,19.2893,2.99031430565222,23.2363
92.9014,26.8157,3.5101,0.2558,0.1608,-3.3896,33.3066,10.9488,0.423936324883955,327.064
33.3506,20.8092,2.9841,0.3807,0.2391,26.0592,21.9905,17.9882,1.50862895880604,251.602
22.2418,16.4332,2.4216,0.4205,0.2178,23.666,13.0442,7.1902,2.0752180429029,214.975
37.374,24.8696,3.044,0.2259,0.1152,-16.9259,19.056,17.4828,2.24482649114401,117.962
68.7092,19.8659,2.8882,0.2031,0.1028,-32.4945,34.6695,9.0485,1.01524770284794,205.399
32.5149,16.1373,2.6464,0.4582,0.3126,10.3219,14.1317,9.0194,1.79760754574614,198.015
40.8706,21.7144,3.0004,0.2308,0.1174,32.656,32.3028,19.1536,1.53335251053034,164.086
24.2734,15.0359,2.4456,0.4624,0.2778,0.8311,20.8813,7.1707,2.04431758287312,136.065
114.303,40.4397,4.1952,0.0746,0.039,72.1985,90.6989,28.7095,0.740082804492285,298.697
25.2099,10.5761,2.4005,0.4732,0.2644,13.9043,19.2371,4.1735,2.9168973370655,120.73
25.9264,13.0316,2.5752,0.5372,0.2832,-1.6516,23.9634,6.3471,2.09509405420436,147.791
